id,nome,idade,nota_simulado,frequencia,turma,status_aprovação
1,Natália Montenegro,17.0,2.7,0.68,B,Reprovado
2,Rebeca Macedo,18.0,7.5,0.56,B,Reprovado
4,Anthony Gabriel Araújo,18.0,8.8,0.81,C,Aprovado
5,Igor Farias,20.0,1.2,0.58,A,Reprovado
6,Letícia Nogueira,16.0,2.4,0.56,B,Reprovado
8,Maria Julia Macedo,19.0,6.8,0.98,C,Reprovado
11,Srta. Ana Luiza Aragão,17.0,6.8,0.85,A,Reprovado
12,Mathias Castro,17.0,1.2,0.58,B,Reprovado
13,Isabel Mendonça,17.0,8.6,0.81,B,Aprovado
14,Sr. Enzo Gabriel da Cunha,17.0,5.7,0.94,C,Reprovado
15,Gael Peixoto,-1.0,1.6,0.52,C,Reprovado
16,Thales Vasconcelos,18.0,6.5,0.9,B,Reprovado
18,Dr. Felipe Leão,17.0,0.0,0.85,C,Reprovado
19,Théo Aragão,19.0,6.5,0.91,B,Reprovado
20,Sra. Bruna Fogaça,16.0,6.1,0.93,B,Reprovado
22,Agatha Farias,17.0,8.0,0.56,C,Reprovado
23,Léo Novais,20.0,3.0,0.53,B,Reprovado
24,Diogo Moreira,19.0,1.6,0.81,C,Reprovado
25,Kevin da Conceição,18.0,9.1,0.59,A,Reprovado
26,Dr. Enzo Gabriel Moraes,17.0,5.4,0.6,A,Reprovado
27,Clara da Conceição,17.0,2.1,0.65,C,Reprovado
28,Srta. Julia da Cruz,17.0,0.6,0.94,B,Reprovado
29,Enzo Rodrigues,20.0,6.0,0.95,C,Reprovado
31,Marcela Sá,20.0,1.4,0.71,A,Reprovado
32,Sra. Yasmin Cavalcanti,17.0,2.4,0.8,A,Reprovado
33,Liz Azevedo,18.0,2.8,0.91,C,Reprovado
34,Gael da Mota,19.0,1.0,0.72,A,Reprovado
35,Rodrigo Rodrigues,19.0,0.9,0.84,C,Reprovado
36,Maria Luísa Mendonça,17.0,1.2,0.51,B,Reprovado
37,Luiz Miguel Cardoso,18.0,3.6,0.66,B,Reprovado
38,Clarice Andrade,18.0,0.0,0.77,B,Reprovado
39,Carolina Pires,17.0,1.7,0.97,A,Reprovado
40,Thiago Cassiano,20.0,0.6,0.93,B,Reprovado
41,Stephany Marques,20.0,1.6,0.85,B,Reprovado
42,Yasmin Câmara,16.0,0.4,0.95,A,Reprovado
43,Lucca da Mata,19.0,9.3,0.82,B,Aprovado
44,Maria Helena Barros,20.0,3.0,0.84,B,Reprovado
45,Diego da Rocha,18.0,9.1,0.74,C,Reprovado
46,Dr. Pedro Henrique Silveira,17.0,8.1,0.77,C,Aprovado
47,Isabelly Fogaça,17.0,3.0,0.95,C,Reprovado
48,Sophie Silveira,20.0,1.8,0.98,B,Reprovado
49,Maria Helena Barros,20.0,5.3,0.53,C,Reprovado
50,Manuella Teixeira,16.0,8.1,0.57,A,Reprovado
52,Vinicius Caldeira,17.0,5.8,0.98,C,Reprovado
53,Augusto da Mota,16.0,8.8,0.88,C,Aprovado
54,Carolina da Mata,16.0,9.5,0.65,B,Reprovado
55,Carolina Silva,20.0,2.2,0.73,C,Reprovado
57,Pietro Pires,20.0,1.1,0.69,A,Reprovado
58,Brenda Teixeira,17.0,6.7,0.53,B,Reprovado
59,Manuella Borges,17.0,4.6,0.63,C,Reprovado
60,Matteo Nascimento,17.0,5.6,0.95,B,Reprovado
61,Dr. Leandro Duarte,20.0,4.3,0.59,B,Reprovado
62,Julia Nogueira,19.0,6.3,0.85,C,Reprovado
64,Nicolas Borges,17.0,6.4,0.74,C,Reprovado
65,Ana Carolina Fernandes,17.0,10.0,0.68,B,Reprovado
66,Sr. Valentim Abreu,20.0,6.6,0.51,B,Reprovado
67,Alícia Lopes,19.0,2.7,0.75,A,Reprovado
68,Dra. Juliana Caldeira,20.0,0.1,0.85,B,Reprovado
69,Sophie da Luz,16.0,2.4,0.88,C,Reprovado
70,Lucca Sousa,18.0,0.3,0.98,B,Reprovado
71,Melissa Jesus,18.0,8.5,0.96,A,Aprovado
72,Anthony Gabriel Aragão,19.0,2.7,0.85,B,Reprovado
73,Maria Vitória Sampaio,17.0,8.3,0.86,B,Aprovado
74,Joana Vieira,16.0,3.4,0.66,A,Reprovado
75,Daniela Sá,20.0,1.0,0.74,C,Reprovado
76,Rafaela Novaes,20.0,7.4,0.8,A,Aprovado
77,Luiz Fernando da Rocha,20.0,1.0,0.83,C,Reprovado
78,Apollo Machado,18.0,9.3,0.77,A,Aprovado
79,Valentina Sá,18.0,2.8,0.73,A,Reprovado
80,Maria Júlia Nascimento,20.0,3.9,0.54,C,Reprovado
81,Lívia Montenegro,18.0,5.6,0.72,C,Reprovado
82,Zoe Guerra,17.0,2.7,0.54,B,Reprovado
83,Emanuel Aragão,18.0,8.1,0.52,C,Reprovado
84,Evelyn Albuquerque,19.0,5.5,0.58,B,Reprovado
85,Isabelly Mendes,16.0,8.0,0.73,C,Reprovado
86,Nina Aragão,17.0,1.8,0.9,B,Reprovado
87,Maria Clara da Cruz,19.0,4.1,0.73,B,Reprovado
88,Dr. Ravy da Mota,20.0,9.6,0.91,B,Aprovado
89,Lunna da Conceição,19.0,9.6,0.77,B,Aprovado
90,Vicente Pires,20.0,4.0,0.56,B,Reprovado
91,Dra. Pietra Andrade,18.0,6.2,0.6,C,Reprovado
92,Sr. Gustavo Fernandes,16.0,8.7,0.64,A,Reprovado
93,Lara Barros,18.0,3.3,0.72,A,Reprovado
94,Maria Clara Lima,20.0,4.2,0.89,A,Reprovado
95,Brayan Nascimento,18.0,0.0,0.61,A,Reprovado
96,Vicente Abreu,17.0,7.6,0.84,B,Aprovado
97,Henry Aragão,19.0,4.0,0.58,B,Reprovado
98,Marcos Vinicius Mendes,19.0,4.4,0.51,C,Reprovado
99,Daniel Sales,17.0,2.8,0.81,A,Reprovado
100,Dr. Otto Monteiro,16.0,6.1,0.72,B,Reprovado
101,Maria Eduarda Duarte,18.0,9.1,0.73,A,Reprovado
102,Dr. Rhavi Vasconcelos,16.0,3.9,0.54,B,Reprovado
103,Clara Sales,19.0,1.3,0.86,C,Reprovado
104,José Almeida,18.0,1.9,0.94,A,Reprovado
105,Laura da Cruz,16.0,2.7,0.63,C,Reprovado
106,Vitória Pastor,19.0,0.9,0.81,B,Reprovado
107,Marcelo Carvalho,17.0,6.7,0.51,C,Reprovado
108,Sr. Rodrigo Azevedo,19.0,9.2,0.65,B,Reprovado
109,Maria Vitória Moreira,19.0,5.4,0.68,A,Reprovado
110,Enrico Novais,18.0,6.6,0.68,A,Reprovado
111,Sabrina da Costa,19.0,10.0,0.59,B,Reprovado
112,Benício Casa Grande,19.0,7.6,0.73,B,Reprovado
113,Lorenzo Barros,17.0,9.4,0.76,A,Aprovado
114,Theo Ferreira,19.0,3.7,0.9,B,Reprovado
115,Yuri Barbosa,16.0,2.1,0.56,C,Reprovado
116,Alexia da Rocha,20.0,6.9,0.62,B,Reprovado
117,Dr. Felipe Cunha,20.0,8.0,0.71,A,Reprovado
119,Ana Luiza Barros,20.0,4.5,0.54,C,Reprovado
120,Luiza Sampaio,17.0,1.5,0.89,B,Reprovado
121,Liz Costa,18.0,8.3,0.97,A,Aprovado
122,Ágatha Leão,17.0,9.2,0.97,B,Aprovado
123,Sra. Yasmin Novaes,-1.0,4.1,0.95,B,Reprovado
124,Helena Cirino,17.0,6.1,0.92,A,Reprovado
126,Theodoro Cassiano,20.0,9.7,0.55,B,Reprovado
127,Dr. Rhavi Costa,17.0,4.0,0.62,B,Reprovado
128,Amanda Guerra,17.0,6.3,0.81,A,Reprovado
129,Vitor Gabriel Rodrigues,18.0,3.7,0.56,C,Reprovado
130,Ana Beatriz Nascimento,19.0,4.8,0.93,B,Reprovado
131,Sr. André Leão,19.0,8.1,0.52,B,Reprovado
132,Ana Carolina Camargo,18.0,7.9,0.99,C,Aprovado
133,Laís Campos,20.0,9.6,0.78,C,Aprovado
134,João Felipe Cavalcante,20.0,0.9,0.6,C,Reprovado
135,Maria Liz Pimenta,17.0,1.9,0.82,C,Reprovado
136,Sr. Vitor Duarte,18.0,1.8,0.63,C,Reprovado
137,Manuela Duarte,18.0,2.2,0.99,C,Reprovado
138,Sr. Juan Correia,17.0,6.0,0.57,C,Reprovado
139,Josué Martins,20.0,2.2,0.73,B,Reprovado
140,Gael Henrique Rezende,17.0,7.4,0.77,C,Aprovado
141,Sra. Ana Laura da Mota,19.0,5.7,0.51,B,Reprovado
142,Luiza Sales,17.0,7.5,0.54,A,Reprovado
143,Arthur Miguel Mendes,20.0,0.3,0.75,A,Reprovado
144,João Miguel da Luz,19.0,8.5,0.56,C,Reprovado
145,Thiago Novaes,20.0,2.7,0.72,B,Reprovado
147,Ravi Moura,19.0,9.2,0.79,C,Aprovado
148,Ana Luiza Vasconcelos,20.0,0.2,0.56,B,Reprovado
149,João Guilherme Viana,18.0,2.4,0.61,B,Reprovado
150,Kamilly Duarte,18.0,8.7,0.56,A,Reprovado
151,Sabrina Oliveira,18.0,4.5,0.89,B,Reprovado
152,Dr. João Guilherme Marques,17.0,5.3,0.62,C,Reprovado
153,Mariah da Rocha,19.0,0.8,0.52,A,Reprovado
154,Maria Luiza Costa,20.0,1.3,0.76,B,Reprovado
155,Milena Macedo,17.0,9.9,0.91,B,Aprovado
156,Melissa Costa,20.0,7.0,0.8,A,Aprovado
157,Gabriel Casa Grande,18.0,5.5,0.69,B,Reprovado
158,Srta. Alícia da Mata,18.0,7.1,0.62,B,Reprovado
159,Dra. Maria Eduarda Leão,20.0,5.0,0.86,C,Reprovado
160,Kevin Garcia,20.0,1.4,0.66,C,Reprovado
162,Srta. Maria Luísa Freitas,20.0,0.1,0.64,C,Reprovado
163,Yuri da Costa,19.0,2.8,0.71,B,Reprovado
164,Bryan Pereira,20.0,1.2,0.85,A,Reprovado
165,Benício Albuquerque,19.0,1.9,0.52,C,Reprovado
166,Lucca da Mata,18.0,7.0,0.9,A,Aprovado
167,Amanda Siqueira,18.0,3.6,0.79,C,Reprovado
168,Liz Barbosa,19.0,2.0,0.69,A,Reprovado
169,Ester Guerra,16.0,2.4,0.6,B,Reprovado
170,Sr. Luiz Miguel da Rocha,18.0,1.4,0.92,B,Reprovado
172,Lucas Barbosa,16.0,7.7,0.82,C,Aprovado
174,Marina Abreu,18.0,5.7,0.82,C,Reprovado
176,João Sales,17.0,6.1,0.55,B,Reprovado
177,Otto Dias,20.0,5.3,0.74,C,Reprovado
179,Dr. Pietro Andrade,-1.0,8.1,0.95,A,Aprovado
180,Ravi Lucca Fogaça,20.0,9.3,0.88,C,Aprovado
181,Joana Brito,17.0,9.7,0.58,B,Reprovado
182,Maria Laura Sampaio,20.0,9.6,0.88,C,Aprovado
183,André Pereira,16.0,7.4,0.58,A,Reprovado
184,Pietro Brito,16.0,6.3,0.7,C,Reprovado
185,Vinicius Siqueira,20.0,8.8,0.9,A,Aprovado
186,Ryan Sampaio,20.0,7.9,0.96,A,Aprovado
187,Erick Sá,20.0,9.7,0.89,A,Aprovado
188,Ayla Costa,19.0,7.0,0.57,B,Reprovado
189,Dra. Lara Alves,16.0,3.1,0.74,C,Reprovado
191,Ana Vitória Gomes,16.0,3.0,0.83,C,Reprovado
192,Joaquim Araújo,19.0,9.3,0.7,A,Reprovado
193,Murilo Pereira,16.0,0.1,0.84,A,Reprovado
194,Luiz Henrique Melo,17.0,0.6,0.73,B,Reprovado
195,Sr. Vicente Rezende,20.0,8.3,0.92,B,Aprovado
196,Dr. Bruno Nascimento,16.0,4.1,0.81,B,Reprovado
197,Leandro Andrade,19.0,5.9,0.96,A,Reprovado
198,Rael Souza,17.0,5.7,0.9,C,Reprovado
199,Srta. Allana Pereira,18.0,9.0,0.79,C,Aprovado
200,Vinicius da Rosa,19.0,3.8,0.51,B,Reprovado
201,Arthur Miguel da Rocha,18.0,3.3,0.85,C,Reprovado
202,Bella Novaes,16.0,2.9,0.65,A,Reprovado
203,Benjamin Silveira,16.0,7.9,0.91,A,Aprovado
